LANGUAGE_FILE,en-US,zh-TW,zh-CN
TIPMSG_CLOSE_SYSTEM_CONFIRM,Are you sure to close the system now?,是否要關閉系統?,是否要关闭系统?
TIPMSG_EXIT,Enter your password to exit the system.,輸入密碼以關閉系統,输入密码以关闭系统
TIPMSG_EXPORT_NO_DATA,There is no data to export => Please search first.,無資料匯出 => 請先查詢資料,无数据导出 => 请先查询数据
TIPMSG_LOGOUT_CONFIRM,Are you sure to log out now?,是否要登出使用者?,是否要退出用户?
TIPMSG_LOGOUT_SUCCEED,Logout Succeed.,成功登出,成功退出
TIPMSG_QUERY_NO_DATA,There is no matching data for your query.,查無資料,查无资料
TODAY_PROCESS,Today Transfer,當日搬送總數,当日搬送总数
TRANSFER,Transfer,搬運,搬运
TRANSFER_CMD,Transfer CMD,搬運命令,搬运命令
TRANSFER_COMMAND,Transfer Command,搬運命令,搬运命令
TRANSFER_COMMAND_HISTORY,Transfer Command History,搬運命令日誌,搬运命令日志
TRANSFER_MANAGEMENT,Transfer Management,搬送管理,搬送管理
USER_ACCOUNT,User Account,使用者帳戶,用户帐户
USER_ID,User ID,使用者帳號,用户帐号
USER_NAME,User Name,使用者名稱,用户名称
USER_PASSWORD,Password,密碼,密码
USER_PASSWORD_NEW,New Password,新密碼,新密码
USER_PASSWORD_NEW2,Confirm New Password,新密碼再確認,新密码再确认
USER_PASSWORD_OLD,Old Password,當前密碼,当前密码
USER_PASSWORD2,Confirm Password,密碼再確認,密码再确认
VEHICLE,Vehicle,車輛,车辆
VEHICLE_CMD,Vehicle CMD,車輛命令,车辆命令
VEHICLE_COMMAND,Vehicle Command,車輛命令,车辆命令
VEHICLE_COMMAND_HISTORY,Vehicle Command History,車輛命令日誌,车辆命令日志
VEHICLE_COMMUNICATION,Vehicle Commu,車輛通訊紀錄,车辆通讯纪录
VEHICLE_ERROR,Error,報錯,报错
VEHICLE_ID,Vehicle ID,車輛編號,车辆编号
VEHICLE_MANAGEMENT,Vehicle Management,車輛管理,车辆管理
VEHICLE_STATUS,Vehicle Status,車輛狀態,车辆状态
VERSION,Version,版本號,版本号
WAITING,Waiting,等待,等待
WAITING_ASSIGNED,Cmd. Queue,等待指派,等待指派
WINDOW_TITLE,AGVC Viewer,AGVC Viewer,AGVC Viewer
