BLOCK_ID,ENTRY_SECTION_ID,ENHAN_CONTROL_SECTION
B01,0102/R-0121/R-0151/F-0091/F-0141/R,0121-0151-0161-0131-0102-0091-0092-0101-0141-0111
B02,0041/F-0181/F-0072/R,0072-0181-0041-0071-0061-0051
