ShelfID,ZoneID,ADR_ID
100101,B6_OHB01-ZONE01,12007
200101,B6_OHB01-ZONE01,12007
200201,B6_OHB01-ZONE01,12008
100201,B6_OHB01-ZONE01,12008
100301,B6_OHB01-ZONE01,12009
200301,B6_OHB01-ZONE01,12009
200401,B6_OHB01-ZONE01,12010
100401,B6_OHB01-ZONE01,12010
100501,B6_OHB01-ZONE01,12011
200501,B6_OHB01-ZONE01,12011
200701,B6_OHB01-ZONE01,12013
100701,B6_OHB01-ZONE01,12013
100801,B6_OHB01-ZONE01,12015
200801,B6_OHB01-ZONE01,12015
200901,B6_OHB01-ZONE01,12016
100901,B6_OHB01-ZONE01,12016
101201,B6_OHB01-ZONE01,12019
201201,B6_OHB01-ZONE01,12019
201001,B6_OHB01-ZONE01,14017
101001,B6_OHB01-ZONE01,14017
101101,B6_OHB01-ZONE01,14018
201101,B6_OHB01-ZONE01,14018
201301,B6_OHB01-ZONE01,99999
201401,B6_OHB01-ZONE01,99999
201501,B6_OHB01-ZONE01,99999
201601,B6_OHB01-ZONE01,99999
201701,B6_OHB01-ZONE01,99999
201801,B6_OHB01-ZONE01,99999
201901,B6_OHB01-ZONE01,99999
202001,B6_OHB01-ZONE01,99999
202101,B6_OHB01-ZONE01,99999
202201,B6_OHB01-ZONE01,99999
202301,B6_OHB01-ZONE01,99999
202401,B6_OHB01-ZONE01,99999
200601,B6_OHB01-ZONE01,99999
103301,B6_OHB01-ZONE01,99999
103401,B6_OHB01-ZONE01,99999
103501,B6_OHB01-ZONE01,99999
103601,B6_OHB01-ZONE01,99999
103701,B6_OHB01-ZONE01,99999
103801,B6_OHB01-ZONE01,99999
103901,B6_OHB01-ZONE01,99999
104001,B6_OHB01-ZONE01,99999
101301,B6_OHB01-ZONE01,99999
101401,B6_OHB01-ZONE01,99999
101501,B6_OHB01-ZONE01,99999
101601,B6_OHB01-ZONE01,99999
100601,B6_OHB01-ZONE01,99999
101701,B6_OHB01-ZONE01,99999
101801,B6_OHB01-ZONE01,99999
101901,B6_OHB01-ZONE01,99999
102001,B6_OHB01-ZONE01,99999
102101,B6_OHB01-ZONE01,99999
102201,B6_OHB01-ZONE01,99999
102301,B6_OHB01-ZONE01,99999
102401,B6_OHB01-ZONE01,99999
102501,B6_OHB01-ZONE01,99999
102601,B6_OHB01-ZONE01,99999
102701,B6_OHB01-ZONE01,99999
102801,B6_OHB01-ZONE01,99999
102901,B6_OHB01-ZONE01,99999
103001,B6_OHB01-ZONE01,99999
103101,B6_OHB01-ZONE01,99999
103201,B6_OHB01-ZONE01,99999
202501,B6_OHB01-ZONE01,99999
202601,B6_OHB01-ZONE01,99999
202701,B6_OHB01-ZONE01,99999
202801,B6_OHB01-ZONE01,99999
202901,B6_OHB01-ZONE01,99999
203001,B6_OHB01-ZONE01,99999
203101,B6_OHB01-ZONE01,99999
203201,B6_OHB01-ZONE01,99999
203301,B6_OHB01-ZONE01,99999
203401,B6_OHB01-ZONE01,99999
203501,B6_OHB01-ZONE01,99999
203601,B6_OHB01-ZONE01,99999
203701,B6_OHB01-ZONE01,99999
203801,B6_OHB01-ZONE01,99999
203901,B6_OHB01-ZONE01,99999
204001,B6_OHB01-ZONE01,99999
100302,B6_OHB01-ZONE02,12031
200302,B6_OHB01-ZONE02,12031
200402,B6_OHB01-ZONE02,12032
100402,B6_OHB01-ZONE02,12032
100502,B6_OHB01-ZONE02,12033
200502,B6_OHB01-ZONE02,12033
200702,B6_OHB01-ZONE02,12035
100702,B6_OHB01-ZONE02,12035
100902,B6_OHB01-ZONE02,12037
200902,B6_OHB01-ZONE02,12037
201002,B6_OHB01-ZONE02,12038
101002,B6_OHB01-ZONE02,12038
101102,B6_OHB01-ZONE02,12039
201102,B6_OHB01-ZONE02,12039
201202,B6_OHB01-ZONE02,12040
101202,B6_OHB01-ZONE02,12040
101302,B6_OHB01-ZONE02,12041
201302,B6_OHB01-ZONE02,12041
201602,B6_OHB01-ZONE02,12044
101602,B6_OHB01-ZONE02,12044
201702,B6_OHB01-ZONE02,12045
201402,B6_OHB01-ZONE02,13042
101402,B6_OHB01-ZONE02,13042
101502,B6_OHB01-ZONE02,13043
201502,B6_OHB01-ZONE02,13043
201802,B6_OHB01-ZONE02,13046
201902,B6_OHB01-ZONE02,13047
200102,B6_OHB01-ZONE02,14029
