Id,X1,X2,Y1,Y2,Text,TextColor,Visible
1,44000,47000,60000,61500,Test1,FF0000,N
2,58000,61000,72000,73500,Test2,0000FF,N
3,62000,65000,72000,73500,Test3,00FF00,N
4,70000,75000,63000,65000,Test4,F6F6F6,N
5,72000,77000,63000,65000,Test5,F6F6F6,N
6,41200,43200,63830,64830,Charger1,F6F6F6,N
7,41200,43200,62350,63350,Charger2,F6F6F6,N
8,57500,59500,77200,78200,Charger3,F6F6F6,N
9,66700,68700,55050,56050,Charger4,F6F6F6,N
