ShelfID,ZoneID,ADR_ID
114301,B7_OHBLINE3-ZONE3,12401
114401,B7_OHBLINE3-ZONE3,12402
114501,B7_OHBLINE3-ZONE3,12403
114601,B7_OHBLINE3-ZONE3,12404
114701,B7_OHBLINE3-ZONE3,12405
114801,B7_OHBLINE3-ZONE3,12406
114901,B7_OHBLINE3-ZONE3,12407
115001,B7_OHBLINE3-ZONE3,12408
115101,B7_OHBLINE3-ZONE3,12409
115201,B7_OHBLINE3-ZONE1,12411
115301,B7_OHBLINE3-ZONE1,12413
115401,B7_OHBLINE3-ZONE1,12415
115501,B7_OHBLINE3-ZONE1,12416
