ALID,ALCD,ALED,ALTX,CEIDSet,CEIDClear,AlarmLevel,AGVAlarmCode
601403,2,80,Hand Put EQ CST Action Time Out(R Side),1601403,2601403,0,200245
601404,2,80,Shutter Door Fall Action Time Out(L Side),1601404,2601404,0,200246
601405,2,80,Shutter Door Fall Action Time Out(R Side),1601405,2601405,0,200247
601406,2,80,Hand Servo Off Action Time Out,1601406,2601406,0,200248
601407,2,80,Hand Servo On Action Time Out,1601407,2601407,0,200249
601408,2,80,Shutter Door R Side Rise Action Time Out,1601408,2601408,0,200250
601409,2,80,Shutter Door R Side Fall Action Time Out,1601409,2601409,0,200251
601410,2,80,,1601410,2601410,0,200252
601411,2,80,"AGV Car And EQ Handshake,TA4 Time out (L Side)",1601411,2601411,0,200253
601412,2,80,"EQ ES Signal Off , Hand Stop Action(L Side)",1601412,2601412,0,200254
601413,2,80,Shutter Door L Side Rise Action Time Out,1601413,2601413,0,200255
601414,2,80,Shutter Door L Side Fall Action Time Out,1601414,2601414,0,200256
601415,2,80,,1601415,2601415,0,200257
601416,2,80,"AGV Car And EQ Handshake,TA4 Time out (R Side)",1601416,2601416,0,200258
601417,2,80,"EQ ES Signal Off , Hand Stop Action(R Side)",1601417,2601417,0,200259
601418,2,80,"Hand Get CST,Hand Detect Sensor Detect Nothing[X0201]",1601418,2601418,0,200260
601419,2,80,"Hand Get CST,Hand Detect Sensor Detect Nothing[X0205]",1601419,2601419,0,200261
601420,2,80,"Hand Put CST,Hand Detect Sensor Detect Nothing[X0201]",1601420,2601420,0,200262
601421,2,80,"Hand Put CST,Hand Detect Sensor Detect Nothing[X0205]",1601421,2601421,0,200263
601422,2,80,"Hand Put CST,But Hand Detect Sensor Detect Something[X0201]",1601422,2601422,0,200264
601423,2,80,"Hand Put CST,But Hand Detect Sensor Detect Something[X0205]",1601423,2601423,0,200265
601424,2,80,,1601424,2601424,0,200266
601425,2,80,,1601425,2601425,0,200267
601426,2,80,,1601426,2601426,0,200268
601427,2,80,,1601427,2601427,0,200269
601428,2,80,"Hand Get/Put CST,Hand Detect Sensor error[X0201]",1601428,2601428,0,200270
601429,2,80,"Hand Get/Put CST,Hand Detect Sensor  error[X0205]",1601429,2601429,0,200271
601430,2,80,,1601430,2601430,0,200272
601431,2,80,,1601431,2601431,0,200273
601432,2,80,,1601432,2601432,0,200274
601433,2,80,,1601433,2601433,0,200275
601434,2,80,,1601434,2601434,0,200276
601435,2,80,,1601435,2601435,0,200277
601436,2,80,,1601436,2601436,0,200278
601437,2,80,,1601437,2601437,0,200279
601438,2,80,"Move,Hand Forward/Back Axis Servo Is Not In Back Position",1601438,2601438,0,200280
601439,2,80,"Move,Hand Up/Down Axis Servo Is Not In Get CST Position",1601439,2601439,0,200281
601440,2,80,"Move,Hand Slide Axis Servo Is Not In Get/Put CST Position",1601440,2601440,0,200282
601441,2,80,"Move,Hand Turn Axis Servo Is Not In GetCST Position",1601441,2601441,0,200283
601442,2,80,"Move,L Side Shutter Axis Servo Is Not In Down Position",1601442,2601442,0,200284
601443,2,80,"Move,R Side Shutter Axis Servo Is Not In Down Position",1601443,2601443,0,200285
601444,2,80,,1601444,2601444,0,200286
601445,2,80,,1601445,2601445,0,200287
601446,2,80,,1601446,2601446,0,200288
601447,2,80,,1601447,2601447,0,200289
601448,2,80,,1601448,2601448,0,200290
601449,2,80,,1601449,2601449,0,200291
601450,2,80,,1601450,2601450,0,200292
601451,2,80,,1601451,2601451,0,200293
601452,2,80,,1601452,2601452,0,200294
601453,2,80,,1601453,2601453,0,200295
601454,2,80,,1601454,2601454,0,200296
601455,2,80,,1601455,2601455,0,200297
601456,2,80,,1601456,2601456,0,200298
601457,2,80,,1601457,2601457,0,200299
601458,2,80,,1601458,2601458,0,200300
601459,2,80,,1601459,2601459,0,200301
601460,2,80,,1601460,2601460,0,200302
