ALID,ALCD,ALED,ALTX,CEIDSet,CEIDClear,AlarmLevel,AGVAlarmCode
601858,2,80,StopChargeTimeout,1601858,2601858,0,200700
601859,2,80,ForkNotHome,1601859,2601859,0,200701
601860,2,80,AgvcCallEms,1601860,2601860,0,200702
601861,2,80,MoveControl Exception,1601861,2601861,0,200703
601862,2,80,Command out of trigger range,1601862,2601862,0,200704
601863,2,80,Move : Initail Wheel Angle Timeout,1601863,2601863,0,200705
601864,2,80,Move : Enable allAxis Timeout,1601864,2601864,0,200706
601865,2,80,Reserve : Command's Reserve out of ReserveList's Range,1601865,2601865,0,200707
601866,2,80,SlowStop : Timeout,1601866,2601866,0,200708
601867,2,80,STurn : AGV turning too fast,1601867,2601867,0,200709
601868,2,80,STurn : AGV turning too slow,1601868,2601868,0,200710
601869,2,80,STurn : AGV turning with wrong path,1601869,2601869,0,200711
601870,2,80,STurn : one of wheels turning too slow,1601870,2601870,0,200712
601871,2,80,STurn : stop in STurn feature distable,1601871,2601871,0,200713
601872,2,80,STurn : continue in STurn feature distable,1601872,2601872,0,200714
601873,2,80,RTurn : AGV turning too fast,1601873,2601873,0,200715
601874,2,80,RTurn : AGV turning too slow,1601874,2601874,0,200716
601875,2,80,RTurn : Virtual Axis not Link,1601875,2601875,0,200717
601876,2,80,RTurn : Turn direction format error,1601876,2601876,0,200718
601877,2,80,RTurn : stop in RTurn feature distable,1601877,2601877,0,200719
601878,2,80,RTurn : RTurn Control timeout,1601878,2601878,0,200720
601879,2,80,RTurn : stop in can't continue step,1601879,2601879,0,200721
601880,2,80,RTurn : continue in RTurn feature distable,1601880,2601880,0,200722
601881,2,80,StopAndClear : Timeout,1601881,2601881,0,200723
601882,2,80,SecondCorrection : Timeout,1601882,2601882,0,200724
601883,2,80,SecondCorrection : Disable Timeout,1601883,2601883,0,200725
601884,2,80,MoveMethod level Initail Fail,1601884,2601884,0,200726
601885,2,80,MoveMethod level Driver Command Fail,1601885,2601885,0,200727
601886,2,80,MotionDriver_Elmo Initail Fail,1601886,2601886,0,200728
601887,2,80,MotionDriver_Elmo Connect Fail,1601887,2601887,0,200729
601888,2,80,MotionDriver_Elmo Axis Setting format error,1601888,2601888,0,200730
601889,2,80,MotionDriver_Elmo Bulk Exception,1601889,2601889,0,200731
601890,2,80,LocateControl Initail Fail,1601890,2601890,0,200732
601891,2,80,LocateDriver_SR2000 Initail Fail,1601891,2601891,0,200733
601892,2,80,LocateDriver_SR2000 Connect Fail,1601892,2601892,0,200734
601893,2,80,LocateDriver_SR2000 data format error,1601893,2601893,0,200735
601894,2,80,LocateDriver_SLAM_Sick Initail Fail,1601894,2601894,0,200736
601895,2,80,LocateDriver_SLAM_Sick Connect Fail,1601895,2601895,0,200737
601896,2,80,LocateDriver_SLAM_Sick data format error,1601896,2601896,0,200738
601897,2,80,Can't Override : Override Timeout,1601897,2601897,0,200739
601898,2,80,SafetyStop : Fork isn't in home Status,1601898,2601898,0,200740
601899,2,80,SafetyStop : Charging,1601899,2601899,0,200741
601900,2,80,SafetyStop : Excessive angular deviation,1601900,2601900,0,200742
601901,2,80,SafetyStop : Excessive section deviation,1601901,2601901,0,200743
601902,2,80,SafetyStop : Too long not read barcode (turn),1601902,2601902,0,200744
601903,2,80,SafetyStop : Too long not read barcode (line),1601903,2601903,0,200745
601904,2,80,SafetyStop : AGV Stop without reason,1601904,2601904,0,200746
601905,2,80,SafetyStop : Velocity change error,1601905,2601905,0,200747
601906,2,80,SafetyStop : Axis error,1601906,2601906,0,200748
601907,2,80,SafetyStop : LocateControl Error,1601907,2601907,0,200749
601908,2,80,SafetyStop : Stop Request,1601908,2601908,0,200750
601909,2,80,SafetyStop : Bumper Stop,1601909,2601909,0,200751
601910,2,80,SafetyStop : EMO Stop,1601910,2601910,0,200752
601911,2,80,Can't AutoRetry : AutoRetry Count more than config,1601911,2601911,0,200753
601912,2,80,Can't AutoRetry : AutoReset fail,1601912,2601912,0,200754
601913,2,80,Can't AutoRetry : Create Retry MoveCmdInfo fail,1601913,2601913,0,200755
601914,2,80,Fork Command Format NG,1601914,2601914,0,200756
601915,2,80,Fork Command Read timeout,1601915,2601915,0,200757
601916,2,80,Fork Not Busy timeout,1601916,2601916,0,200758
601917,2,80,Fork Command Executing timeout,1601917,2601917,0,200759
601918,2,80,Fork Home Flag Waiting timeout,1601918,2601918,0,200760
601919,2,80,,1601919,2601919,0,200761
601920,2,80,,1601920,2601920,0,200762
601921,2,80,,1601921,2601921,0,200763
601922,2,80,,1601922,2601922,0,200764
601923,2,80,,1601923,2601923,0,200765
601924,2,80,,1601924,2601924,0,200766
601925,2,80,,1601925,2601925,0,200767
601926,2,80,,1601926,2601926,0,200768
601927,2,80,,1601927,2601927,0,200769
601928,2,80,,1601928,2601928,0,200770
601929,2,80,,1601929,2601929,0,200771
601930,2,80,,1601930,2601930,0,200772
601931,2,80,,1601931,2601931,0,200773
601932,2,80,,1601932,2601932,0,200774
601933,2,80,,1601933,2601933,0,200775
601934,2,80,,1601934,2601934,0,200776
601935,2,80,,1601935,2601935,0,200777
601936,2,80,,1601936,2601936,0,200778
601937,2,80,,1601937,2601937,0,200779
601938,2,80,,1601938,2601938,0,200780
601939,2,80,,1601939,2601939,0,200781
601940,2,80,,1601940,2601940,0,200782
601941,2,80,,1601941,2601941,0,200783
601942,2,80,,1601942,2601942,0,200784
601943,2,80,,1601943,2601943,0,200785
601944,2,80,,1601944,2601944,0,200786
601945,2,80,,1601945,2601945,0,200787
601946,2,80,,1601946,2601946,0,200788
601947,2,80,,1601947,2601947,0,200789
601948,2,80,,1601948,2601948,0,200790
601949,2,80,,1601949,2601949,0,200791
601950,2,80,,1601950,2601950,0,200792
601951,2,80,,1601951,2601951,0,200793
601952,2,80,,1601952,2601952,0,200794
601953,2,80,,1601953,2601953,0,200795
601954,2,80,,1601954,2601954,0,200796
601955,2,80,,1601955,2601955,0,200797
601956,2,80,,1601956,2601956,0,200798
601957,2,80,,1601957,2601957,0,200799
601958,2,80,,1601958,2601958,0,200800
601959,2,80,,1601959,2601959,0,200801
601960,2,80,,1601960,2601960,0,200802
601961,2,80,,1601961,2601961,0,200803
601962,2,80,,1601962,2601962,0,200804
601963,2,80,,1601963,2601963,0,200805
601964,2,80,,1601964,2601964,0,200806
601965,2,80,,1601965,2601965,0,200807
601966,2,80,,1601966,2601966,0,200808
601967,2,80,,1601967,2601967,0,200809
601968,2,80,,1601968,2601968,0,200810
601969,2,80,,1601969,2601969,0,200811
601970,2,80,,1601970,2601970,0,200812
601971,2,80,,1601971,2601971,0,200813
601972,2,80,,1601972,2601972,0,200814
601973,2,80,,1601973,2601973,0,200815
601974,2,80,,1601974,2601974,0,200816
601975,2,80,,1601975,2601975,0,200817
601976,2,80,,1601976,2601976,0,200818
601977,2,80,,1601977,2601977,0,200819
601978,2,80,,1601978,2601978,0,200820
601979,2,80,,1601979,2601979,0,200821
601980,2,80,,1601980,2601980,0,200822
601981,2,80,,1601981,2601981,0,200823
601982,2,80,,1601982,2601982,0,200824
601983,2,80,,1601983,2601983,0,200825
601984,2,80,,1601984,2601984,0,200826
601985,2,80,,1601985,2601985,0,200827
601986,2,80,,1601986,2601986,0,200828
601987,2,80,,1601987,2601987,0,200829
601988,2,80,,1601988,2601988,0,200830
601989,2,80,,1601989,2601989,0,200831
601990,2,80,,1601990,2601990,0,200832
601991,2,80,,1601991,2601991,0,200833
601992,2,80,,1601992,2601992,0,200834
601993,2,80,,1601993,2601993,0,200835
601994,2,80,,1601994,2601994,0,200836
601995,2,80,,1601995,2601995,0,200837
601996,2,80,,1601996,2601996,0,200838
601997,2,80,,1601997,2601997,0,200839
601998,2,80,,1601998,2601998,0,200840
601999,2,80,,1601999,2601999,0,200841
602000,2,80,,1602000,2602000,0,200842
602001,2,80,,1602001,2602001,0,200843
602002,2,80,,1602002,2602002,0,200844
602003,2,80,,1602003,2602003,0,200845
602004,2,80,,1602004,2602004,0,200846
602005,2,80,,1602005,2602005,0,200847
602006,2,80,,1602006,2602006,0,200848
602007,2,80,,1602007,2602007,0,200849
602008,2,80,,1602008,2602008,0,200850
602009,2,80,,1602009,2602009,0,200851
602010,2,80,,1602010,2602010,0,200852
602011,2,80,,1602011,2602011,0,200853
602012,2,80,,1602012,2602012,0,200854
602013,2,80,,1602013,2602013,0,200855
602014,2,80,,1602014,2602014,0,200856
602015,2,80,,1602015,2602015,0,200857
602016,2,80,,1602016,2602016,0,200858
602017,2,80,,1602017,2602017,0,200859
602018,2,80,,1602018,2602018,0,200860
602019,2,80,,1602019,2602019,0,200861
602020,2,80,,1602020,2602020,0,200862
602021,2,80,,1602021,2602021,0,200863
602022,2,80,,1602022,2602022,0,200864
602023,2,80,,1602023,2602023,0,200865
602024,2,80,,1602024,2602024,0,200866
602025,2,80,,1602025,2602025,0,200867
602026,2,80,,1602026,2602026,0,200868
602027,2,80,,1602027,2602027,0,200869
602028,2,80,,1602028,2602028,0,200870
602029,2,80,,1602029,2602029,0,200871
602030,2,80,,1602030,2602030,0,200872
602031,2,80,,1602031,2602031,0,200873
602032,2,80,,1602032,2602032,0,200874
602033,2,80,,1602033,2602033,0,200875
602034,2,80,,1602034,2602034,0,200876
602035,2,80,,1602035,2602035,0,200877
602036,2,80,,1602036,2602036,0,200878
602037,2,80,,1602037,2602037,0,200879
602038,2,80,,1602038,2602038,0,200880
602039,2,80,,1602039,2602039,0,200881
602040,2,80,,1602040,2602040,0,200882
602041,2,80,,1602041,2602041,0,200883
602042,2,80,,1602042,2602042,0,200884
602043,2,80,,1602043,2602043,0,200885
602044,2,80,,1602044,2602044,0,200886
602045,2,80,,1602045,2602045,0,200887
602046,2,80,,1602046,2602046,0,200888
602047,2,80,,1602047,2602047,0,200889
602048,2,80,,1602048,2602048,0,200890
602049,2,80,,1602049,2602049,0,200891
602050,2,80,,1602050,2602050,0,200892
602051,2,80,,1602051,2602051,0,200893
602052,2,80,,1602052,2602052,0,200894
602053,2,80,,1602053,2602053,0,200895
602054,2,80,,1602054,2602054,0,200896
602055,2,80,,1602055,2602055,0,200897
602056,2,80,,1602056,2602056,0,200898
602057,2,80,,1602057,2602057,0,200899
602058,2,80,,1602058,2602058,0,200900
602059,2,80,,1602059,2602059,0,200901
602060,2,80,,1602060,2602060,0,200902
602061,2,80,,1602061,2602061,0,200903
602062,2,80,,1602062,2602062,0,200904
602063,2,80,,1602063,2602063,0,200905
602064,2,80,,1602064,2602064,0,200906
602065,2,80,,1602065,2602065,0,200907
602066,2,80,,1602066,2602066,0,200908
602067,2,80,,1602067,2602067,0,200909
602068,2,80,,1602068,2602068,0,200910
602069,2,80,,1602069,2602069,0,200911
602070,2,80,,1602070,2602070,0,200912
602071,2,80,,1602071,2602071,0,200913
602072,2,80,,1602072,2602072,0,200914
602073,2,80,,1602073,2602073,0,200915
602074,2,80,,1602074,2602074,0,200916
602075,2,80,,1602075,2602075,0,200917
602076,2,80,,1602076,2602076,0,200918
602077,2,80,,1602077,2602077,0,200919
602078,2,80,,1602078,2602078,0,200920
602079,2,80,,1602079,2602079,0,200921
602080,2,80,,1602080,2602080,0,200922
602081,2,80,,1602081,2602081,0,200923
602082,2,80,,1602082,2602082,0,200924
602083,2,80,,1602083,2602083,0,200925
602084,2,80,,1602084,2602084,0,200926
602085,2,80,,1602085,2602085,0,200927
602086,2,80,,1602086,2602086,0,200928
602087,2,80,,1602087,2602087,0,200929
602088,2,80,,1602088,2602088,0,200930
602089,2,80,,1602089,2602089,0,200931
602090,2,80,,1602090,2602090,0,200932
602091,2,80,,1602091,2602091,0,200933
602092,2,80,,1602092,2602092,0,200934
602093,2,80,,1602093,2602093,0,200935
602094,2,80,,1602094,2602094,0,200936
602095,2,80,,1602095,2602095,0,200937
602096,2,80,,1602096,2602096,0,200938
602097,2,80,,1602097,2602097,0,200939
602098,2,80,,1602098,2602098,0,200940
602099,2,80,,1602099,2602099,0,200941
602100,2,80,,1602100,2602100,0,200942
602101,2,80,,1602101,2602101,0,200943
602102,2,80,,1602102,2602102,0,200944
602103,2,80,,1602103,2602103,0,200945
602104,2,80,,1602104,2602104,0,200946
602105,2,80,,1602105,2602105,0,200947
602106,2,80,,1602106,2602106,0,200948
602107,2,80,,1602107,2602107,0,200949
602108,2,80,,1602108,2602108,0,200950
602109,2,80,,1602109,2602109,0,200951
602110,2,80,,1602110,2602110,0,200952
602111,2,80,,1602111,2602111,0,200953
602112,2,80,,1602112,2602112,0,200954
602113,2,80,,1602113,2602113,0,200955
602114,2,80,,1602114,2602114,0,200956
602115,2,80,,1602115,2602115,0,200957
602116,2,80,,1602116,2602116,0,200958
602117,2,80,,1602117,2602117,0,200959
602118,2,80,,1602118,2602118,0,200960
602119,2,80,,1602119,2602119,0,200961
602120,2,80,,1602120,2602120,0,200962
602121,2,80,,1602121,2602121,0,200963
602122,2,80,,1602122,2602122,0,200964
602123,2,80,,1602123,2602123,0,200965
602124,2,80,,1602124,2602124,0,200966
602125,2,80,,1602125,2602125,0,200967
602126,2,80,,1602126,2602126,0,200968
602127,2,80,,1602127,2602127,0,200969
602128,2,80,,1602128,2602128,0,200970
602129,2,80,,1602129,2602129,0,200971
602130,2,80,,1602130,2602130,0,200972
602131,2,80,,1602131,2602131,0,200973
602132,2,80,,1602132,2602132,0,200974
602133,2,80,,1602133,2602133,0,200975
602134,2,80,,1602134,2602134,0,200976
602135,2,80,,1602135,2602135,0,200977
602136,2,80,,1602136,2602136,0,200978
602137,2,80,,1602137,2602137,0,200979
602138,2,80,,1602138,2602138,0,200980
602139,2,80,,1602139,2602139,0,200981
602140,2,80,,1602140,2602140,0,200982
602141,2,80,,1602141,2602141,0,200983
602142,2,80,,1602142,2602142,0,200984
602143,2,80,,1602143,2602143,0,200985
602144,2,80,,1602144,2602144,0,200986
602145,2,80,,1602145,2602145,0,200987
602146,2,80,,1602146,2602146,0,200988
602147,2,80,,1602147,2602147,0,200989
602148,2,80,,1602148,2602148,0,200990
602149,2,80,,1602149,2602149,0,200991
602150,2,80,,1602150,2602150,0,200992
602151,2,80,,1602151,2602151,0,200993
602152,2,80,,1602152,2602152,0,200994
602153,2,80,,1602153,2602153,0,200995
602154,2,80,,1602154,2602154,0,200996
602155,2,80,,1602155,2602155,0,200997
602156,2,80,,1602156,2602156,0,200998
602157,2,80,,1602157,2602157,0,200999
602158,2,80,,1602158,2602158,0,201000
602159,2,80,,1602159,2602159,0,201001
602160,2,80,,1602160,2602160,0,201002
602161,2,80,,1602161,2602161,0,201003
602162,2,80,,1602162,2602162,0,201004
602163,2,80,,1602163,2602163,0,201005
602164,2,80,,1602164,2602164,0,201006
602165,2,80,,1602165,2602165,0,201007
602166,2,80,,1602166,2602166,0,201008
602167,2,80,,1602167,2602167,0,201009
602168,2,80,,1602168,2602168,0,201010
602169,2,80,,1602169,2602169,0,201011
602170,2,80,,1602170,2602170,0,201012
602171,2,80,,1602171,2602171,0,201013
602172,2,80,,1602172,2602172,0,201014
602173,2,80,,1602173,2602173,0,201015
602174,2,80,,1602174,2602174,0,201016
602175,2,80,,1602175,2602175,0,201017
602176,2,80,,1602176,2602176,0,201018
602177,2,80,,1602177,2602177,0,201019
602178,2,80,,1602178,2602178,0,201020
602179,2,80,,1602179,2602179,0,201021
602180,2,80,,1602180,2602180,0,201022
602181,2,80,,1602181,2602181,0,201023
602182,2,80,,1602182,2602182,0,201024
602183,2,80,,1602183,2602183,0,201025
602184,2,80,,1602184,2602184,0,201026
602185,2,80,,1602185,2602185,0,201027
602186,2,80,,1602186,2602186,0,201028
602187,2,80,,1602187,2602187,0,201029
602188,2,80,,1602188,2602188,0,201030
602189,2,80,,1602189,2602189,0,201031
602190,2,80,,1602190,2602190,0,201032
602191,2,80,,1602191,2602191,0,201033
602192,2,80,,1602192,2602192,0,201034
602193,2,80,,1602193,2602193,0,201035
602194,2,80,,1602194,2602194,0,201036
602195,2,80,,1602195,2602195,0,201037
602196,2,80,,1602196,2602196,0,201038
602197,2,80,,1602197,2602197,0,201039
602198,2,80,¡iPLC¡jBattery Power (Low) Latch,1602198,2602198,0,201040
602199,2,80,F Side Brake Release Button Enable,1602199,2602199,0,201041
602200,2,80,B Side Brake Release Button Enable,1602200,2602200,0,201042
602201,2,80,Beam Sensor Detect Something(F Side),1602201,2602201,0,201043
602202,2,80,Beam Sensor Detect Something(B Side),1602202,2602202,0,201044
602203,2,80,Beam Sensor Detect Something(LR Side),1602203,2602203,0,201045
602204,2,80,Beam Sensor Detect Something(LL Side),1602204,2602204,0,201046
602205,2,80,Beam Sensor Detect Something(RR Side),1602205,2602205,0,201047
602206,2,80,Beam Sensor Detect Something(RL Side),1602206,2602206,0,201048
602207,2,80,Use,1602207,2602207,0,201049
602208,2,80,Use,1602208,2602208,0,201050
602209,2,80,IPC Not Ready,1602209,2602209,0,201051
602210,2,80,"Put CST To EQ,Double Check Sensor Error(L Side)",1602210,2602210,0,201052
602211,2,80,"From EQ Get CST,Double Check Sensor Error(L Side)",1602211,2602211,0,201053
602212,2,80,"Put CST To EQ,Double Check Sensor Error(R Side)",1602212,2602212,0,201054
602213,2,80,"From EQ Get CST,Double Check Sensor Error(R Side)",1602213,2602213,0,201055
602214,2,80,"From EQ Get CST,Double Check Sensor Error",1602214,2602214,0,201056
602215,2,80,"Put CST To EQ,Double Check Sensor Error",1602215,2602215,0,201057
602216,2,80,Use,1602216,2602216,0,201058
602217,2,80,Use,1602217,2602217,0,201059
602218,2,80,Double Check Sensor Error(To IPC),1602218,2602218,0,201060
602219,2,80,Hand Post PIO Fail(To IPC),1602219,2602219,0,201061
602220,2,80,Hand Busy Fail(To IPC),1602220,2602220,0,201062
602221,2,80,Hand PrePIO Fail(To IPC),1602221,2602221,0,201063
602222,2,80,Hand Command NG(From IPC),1602222,2602222,0,201064
602223,2,80,Double Check Sensor Function Not Use(L Side),1602223,2602223,0,201065
602224,2,80,Double Check Sensor Function Not Use(R Side),1602224,2602224,0,201066
602225,2,80,Hand Check Function Not Use,1602225,2602225,0,201067
602226,2,80,Stage Check Function Not Use,1602226,2602226,0,201068
602227,2,80,[Confirm Stage Car  Position] Function Use,1602227,2602227,0,201069
602228,2,80,Shutter Door Not Use,1602228,2602228,0,201070
602229,2,80,Correct Mode Not Use,1602229,2602229,0,201071
602230,2,80,Power Saving Mode Enable,1602230,2602230,0,201072
602231,2,80,Enforce With EQ Handshake Function Use,1602231,2602231,0,201073
602232,2,80,Enforce Close Bump Sensor Function,1602232,2602232,0,201074
602233,2,80,AGVC Enforce End Charge(R Side),1602233,2602233,0,201075
602234,2,80,Charger Error(R Side),1602234,2602234,0,201076
602235,2,80,"In Charge,Charger Sensor Error(R Side)",1602235,2602235,0,201077
602236,2,80,AGVC Enforce End Charge(L Side),1602236,2602236,0,201078
602237,2,80,Charger Error(L Side),1602237,2602237,0,201079
602238,2,80,"In Charge,Charger Sensor Error(L Side)",1602238,2602238,0,201080
602239,2,80,Hand Forward/Back Axis Home Return Ask On,1602239,2602239,0,201081
602240,2,80,Hand Up/Down Axis Home Return Ask On,1602240,2602240,0,201082
602241,2,80,Hand Slide Axis Home Return Ask On,1602241,2602241,0,201083
602242,2,80,Hand Turn Axis Home Return Ask On,1602242,2602242,0,201084
602243,2,80,Charge Over Setting Time(R Side),1602243,2602243,0,201085
602244,2,80,Charge Over Setting Time(L Side),1602244,2602244,0,201086
602245,2,80,"System Has Action,Can Not Turn Manual",1602245,2602245,0,201087
602246,2,80,"System Has Error,Can Not Turn Auto",1602246,2602246,0,201088
602247,2,80,"Brake Release Has Action,Can Not Turn Auto",1602247,2602247,0,201089
602248,2,80,Beam Sensor Shielded(F Side),1602248,2602248,0,201090
602249,2,80,Beam Sensor Shielded(B Side),1602249,2602249,0,201091
602250,2,80,Beam Sensor Shielded(LR Side),1602250,2602250,0,201092
602251,2,80,Beam Sensor Shielded(LL Side),1602251,2602251,0,201093
602252,2,80,Beam Sensor Shielded(RR Side),1602252,2602252,0,201094
602253,2,80,Beam Sensor Shielded(RL Side),1602253,2602253,0,201095
602254,2,80,Vehicle To Charger Action Time Out(R Side),1602254,2602254,0,201096
602255,2,80,Vehicle To Charger Action Time Out(L Side),1602255,2602255,0,201097
602256,2,80,Corrector Read Action Time Out,1602256,2602256,0,201098
602257,2,80,Servo Enter Power Saving Mode,1602257,2602257,0,201099
602258,2,80,"EQ HO_AVBL Signal OFF, Cancel Handshake(L Side)",1602258,2602258,0,201100
602259,2,80,"EQ HO_AVBL Signal OFF, Cancel Handshake(R Side)",1602259,2602259,0,201101
602260,2,80,"EQ ES Signal Is Not On,Hand Can Not Action(L Side)",1602260,2602260,0,201102
602261,2,80,"EQ ES Signal Is Not On,Hand Can Not Action(R Side)",1602261,2602261,0,201103
602262,2,80,Charger Station Error,1602262,2602262,0,201104
602263,2,80,Battery Brand Is Not Setting,1602263,2602263,0,201105
602264,2,80,Vehicle Battery Voltage Too High Warning,1602264,2602264,0,201106
602265,2,80,Vehicle Battery Voltage Too Low Warning,1602265,2602265,0,201107
602266,2,80,IPC Stop Command Invalid,1602266,2602266,0,201108
602267,2,80,"AGV Car And EQ Handshake,TA1 Timeout (L Side)",1602267,2602267,0,201109
602268,2,80,"AGV Car And EQ Handshake,TA2 Timeout (L Side)",1602268,2602268,0,201110
602269,2,80,"AGV Car And EQ Handshake,TA3 Timeout (L Side)",1602269,2602269,0,201111
602270,2,80,"AGV Car And EQ Handshake,TA1 Timeout (R Side)",1602270,2602270,0,201112
602271,2,80,"AGV Car And EQ Handshake,TA2 Timeout (R Side)",1602271,2602271,0,201113
602272,2,80,"AGV Car And EQ Handshake,TA3 Timeout (R Side)",1602272,2602272,0,201114
602273,2,80,Corrector Function Confirm NG,1602273,2602273,0,201115
602274,2,80,IPC Is Not Ask Corrector Function Confirm,1602274,2602274,0,201116
602275,2,80,"Coupler_R Side Receive Charge Command,Sensor Off",1602275,2602275,0,201117
602276,2,80,"Coupler_L Side Receive Charge Command,Sensor Off",1602276,2602276,0,201118
602277,2,80,Master CC-Link Module Error Or Warning,1602277,2602277,0,201119
602278,2,80,Electric Meter Communication Over Time,1602278,2602278,0,201120
602279,2,80,IPC Get/Put CommanDownG(StageCode),1602279,2602279,0,201121
602280,2,80,IPC Get/Put CommanDownG( ActionCode),1602280,2602280,0,201122
602281,2,80,"Stage Has CST,Can Not Execute Get Command(L Side)",1602281,2602281,0,201123
602282,2,80,"EQ Port No CST,Can Not Execute Get Command(L Side)",1602282,2602282,0,201124
602283,2,80,"Stage Has CST,Can Not Execute Get Command(R Side)",1602283,2602283,0,201125
602284,2,80,"EQ Port No CST,Can Not Execute Get Command(R Side)",1602284,2602284,0,201126
602285,2,80,"Stage No CST,Can Not Execute Put Command(L Side)",1602285,2602285,0,201127
602286,2,80,"EQ Port Has CST,Can Not Execute Put Command(L Side)",1602286,2602286,0,201128
602287,2,80,"Stage No CST,Can Not Execute Put Command(R Side)",1602287,2602287,0,201129
602288,2,80,"EQ Port Has CST,Can Not Execute Put Command(R Side)",1602288,2602288,0,201130
602289,2,80,IPC Get/Put Comman NG (Direction Code),1602289,2602289,0,201131
602290,2,80,"Vehicle Is Not Position,Can Not Accept IPC Command",1602290,2602290,0,201132
602291,2,80,"Hand Is Not In Work Home,Can Not Accept IPC Command",1602291,2602291,0,201133
602292,2,80,"Servo On/Off Status Not Complete,Can Not Accept IPC Command",1602292,2602292,0,201134
602293,2,80,"IPC Command Signal Residual,Can Not Accept New Command",1602293,2602293,0,201135
602294,2,80,"Hand Action,Can Not Accept IPC Command",1602294,2602294,0,201136
602295,2,80,IPC Get/Put Comman NG (Speed Code),1602295,2602295,0,201137
602296,2,80,"System Is Not Ready,Can Not Accept IPC Command",1602296,2602296,0,201138
602297,2,80,"Hand Is Manual Mode,Can Not Accept IPC Command",1602297,2602297,0,201139
602298,2,80,"Hand Home Return,Can Not Accept IPC Command",1602298,2602298,0,201140
602299,2,80,"Alarm Report,T1 TimeOut",1602299,2602299,0,201141
602300,2,80,"Hand Teaching Report,T1 TimeOut",1602300,2602300,0,201142
602301,2,80,"Vehicle Teaching Report,T1 TimeOut",1602301,2602301,0,201143
602302,2,80,"Hand Alignment Teching Report,T1 TimeOut",1602302,2602302,0,201144
602303,2,80,Trun Wheel Motor Servo Off(FR Side),1602303,2602303,0,201145
602304,2,80,Trun Wheel Motor Servo Off(FL Side),1602304,2602304,0,201146
602305,2,80,Trun Wheel Motor Servo Off(BR Side),1602305,2602305,0,201147
602306,2,80,Trun Wheel Motor Servo Off(BL Side),1602306,2602306,0,201148
602307,2,80,Walker Wheel Motor Servo Off(FR Side),1602307,2602307,0,201149
602308,2,80,Walker Wheel Motor Servo Off(FL Side),1602308,2602308,0,201150
602309,2,80,Walker Wheel Motor Servo Off(BR Side),1602309,2602309,0,201151
602310,2,80,Walker Wheel Motor Servo Off(BL Side),1602310,2602310,0,201152
602311,2,80,IPC Order Car Wheel Servo Off,1602311,2602311,0,201153
602312,2,80,Hand Pause,1602312,2602312,0,201154
602313,2,80,Hand Decomposed Action Mode Use,1602313,2602313,0,201155
602314,2,80,Stage And Direction Number Are Different,1602314,2602314,0,201156
602315,2,80,Spare,1602315,2602315,0,201157
602316,2,80,Spare,1602316,2602316,0,201158
602317,2,80,Spare,1602317,2602317,0,201159
602318,2,80,Hand Correct Amount Too Much(Positive Degrees),1602318,2602318,0,201160
602319,2,80,Hand Correct Amount Too Much(Negative Degrees),1602319,2602319,0,201161
602320,2,80,Hand Correct Amount Too Much(Positive Direction)(Slide),1602320,2602320,0,201162
602321,2,80,Hand Correct Amount Too Much(Negative Direction)(Slide),1602321,2602321,0,201163
602322,2,80,Hand Correct Amount Too Much(Positive Direction)(FR/BK),1602322,2602322,0,201164
602323,2,80,Hand Correct Amount Too Much(Negative Direction)(FR/BK),1602323,2602323,0,201165
602324,2,80,Electric Meter Communication Error,1602324,2602324,0,201166
602325,2,80,Execute IPC Get/Put Command Time Out,1602325,2602325,0,201167
602326,2,80,,1602326,2602326,0,201168
602327,2,80,,1602327,2602327,0,201169
602328,2,80,,1602328,2602328,0,201170
602329,2,80,,1602329,2602329,0,201171
602330,2,80,,1602330,2602330,0,201172
602331,2,80,,1602331,2602331,0,201173
602332,2,80,,1602332,2602332,0,201174
602333,2,80,,1602333,2602333,0,201175
602334,2,80,,1602334,2602334,0,201176
602335,2,80,,1602335,2602335,0,201177
602336,2,80,,1602336,2602336,0,201178
602337,2,80,,1602337,2602337,0,201179
602338,2,80,,1602338,2602338,0,201180
602339,2,80,,1602339,2602339,0,201181
602340,2,80,,1602340,2602340,0,201182
602341,2,80,,1602341,2602341,0,201183
602342,2,80,,1602342,2602342,0,201184
602343,2,80,,1602343,2602343,0,201185
602344,2,80,,1602344,2602344,0,201186
602345,2,80,,1602345,2602345,0,201187
602346,2,80,,1602346,2602346,0,201188
602347,2,80,,1602347,2602347,0,201189
602348,2,80,,1602348,2602348,0,201190
602349,2,80,,1602349,2602349,0,201191
602350,2,80,,1602350,2602350,0,201192
602351,2,80,,1602351,2602351,0,201193
602352,2,80,,1602352,2602352,0,201194
602353,2,80,,1602353,2602353,0,201195
602354,2,80,,1602354,2602354,0,201196
602355,2,80,,1602355,2602355,0,201197
602356,2,80,,1602356,2602356,0,201198
602357,2,80,,1602357,2602357,0,201199
602358,2,80,,1602358,2602358,0,201200
602359,2,80,,1602359,2602359,0,201201
602360,2,80,,1602360,2602360,0,201202
602361,2,80,,1602361,2602361,0,201203
602362,2,80,,1602362,2602362,0,201204
602363,2,80,,1602363,2602363,0,201205
602364,2,80,,1602364,2602364,0,201206
602365,2,80,,1602365,2602365,0,201207
602366,2,80,,1602366,2602366,0,201208
602367,2,80,,1602367,2602367,0,201209
602368,2,80,,1602368,2602368,0,201210
602369,2,80,,1602369,2602369,0,201211
