ShelfID,ZoneID,ADR_ID
100101,B7_OHBLINE2-ZONE1,10001
100201,B7_OHBLINE2-ZONE1,10002
100301,B7_OHBLINE2-ZONE1,10003
100401,B7_OHBLINE2-ZONE1,10004
100501,B7_OHBLINE2-ZONE1,10005
100601,B7_OHBLINE2-ZONE1,10006
100701,B7_OHBLINE2-ZONE1,10007
100801,B7_OHBLINE2-ZONE1,10008
101001,B7_OHBLINE2-ZONE1,10010
101101,B7_OHBLINE2-ZONE1,10011
101201,B7_OHBLINE2-ZONE1,10012
101301,B7_OHBLINE2-ZONE1,10013
101401,B7_OHBLINE2-ZONE1,10014
101501,B7_OHBLINE2-ZONE1,10015
101601,B7_OHBLINE2-ZONE1,10016
101701,B7_OHBLINE2-ZONE1,10017
101801,B7_OHBLINE2-ZONE1,10018
101901,B7_OHBLINE2-ZONE1,10019
102001,B7_OHBLINE2-ZONE1,10020
102101,B7_OHBLINE2-ZONE1,10021
102201,B7_OHBLINE2-ZONE1,10022
102301,B7_OHBLINE2-ZONE1,10023
102401,B7_OHBLINE2-ZONE1,10024
102501,B7_OHBLINE2-ZONE1,10025
103601,B7_OHBLINE2-ZONE2,10036
103701,B7_OHBLINE2-ZONE2,10037
103801,B7_OHBLINE2-ZONE2,10038
103901,B7_OHBLINE2-ZONE2,10039
104001,B7_OHBLINE2-ZONE2,10040
104101,B7_OHBLINE2-ZONE2,10041
104201,B7_OHBLINE2-ZONE2,10042
104301,B7_OHBLINE2-ZONE2,10043
104401,B7_OHBLINE2-ZONE2,10044
104501,B7_OHBLINE2-ZONE2,10045
104601,B7_OHBLINE2-ZONE2,10046
104701,B7_OHBLINE2-ZONE2,10047
104801,B7_OHBLINE2-ZONE2,10048
104901,B7_OHBLINE2-ZONE2,10049
105001,B7_OHBLINE2-ZONE2,10050
105101,B7_OHBLINE2-ZONE2,10051
105201,B7_OHBLINE2-ZONE2,10052
105301,B7_OHBLINE2-ZONE2,10053
105401,B7_OHBLINE2-ZONE2,10054
105501,B7_OHBLINE2-ZONE2,10055
105601,B7_OHBLINE2-ZONE2,10056
105701,B7_OHBLINE2-ZONE2,10057
105801,B7_OHBLINE2-ZONE2,10058
105901,B7_OHBLINE2-ZONE2,10059
